Filename,Lead ID,Lead Name,DateTime,Veredito,Observações,Critical,Timeline
"00d39d37-4d37-44c3-b02b-76bf91c3e126.png","#2459","Índia","Unknown 23:52-08:52","Divergente","Ausência do separador obrigatório [[BALAO]] entre todas as mensagens da automação.",false,"23:55: Missing [[BALAO]] separator | 08:47: Missing [[BALAO]] separator"
"0c7732ca-ad7e-4e98-b05e-5e6ce99c5939 copy.png","#2559",".","Unknown 14:36-14:38","Divergente","Ausência da tag [[BALAO]] entre as bolhas de mensagens consecutivas enviadas pela automação.",false,"14:38: Missing [[BALAO]] separator between bot bubbles"
"0c7732ca-ad7e-4e98-b05e-5e6ce99c5939.png","#2559","Unknown","Unknown 14:36-14:38","Divergente","Ausência do separador obrigatório [[BALAO]] entre as mensagens da automação enviadas às 14:38.",false,"14:38: Ausência do separador [[BALAO]] entre as múltiplas bolhas de mensagem enviadas consecutivamente."
"0e25afbc-0ae1-4b39-ac22-85696d9b38b4.png","#2459","índia","Unknown 09:54-10:06","Divergente","Ausência do separador obrigatório [[BALAO]] entre as mensagens da automação em ambos os blocos de resposta.",false,"09:54: Ausência do separador [[BALAO]] entre os balões de mensagem | 10:06: Ausência do separador [[BALAO]] entre os balões de mensagem"
"1d0e2d9d-4a31-4afd-93de-f7a1f65d57df.png","#2559",".","Unknown 14:38-14:42","Divergente","Ausência da tag obrigatória [[BALAO]] entre as mensagens enviadas pela automação.",false,"14:38: Missing [[BALAO]] separator | 14:42: Missing [[BALAO]] separator"
"37844a5c-9b89-4ce4-8e48-6f077f427c43.png","#2556","Vicky Saccoletto","Unknown 15:16-16:01","Divergente","Ausência do separador obrigatório [[BALAO]] entre as mensagens enviadas pela automação às 15:16.",false,"15:16: Ausência do separador [[BALAO]] entre as múltiplas bolhas de mensagem enviadas."
"8f65465c-dc09-4729-9ff5-884e43b47544.png","#2556","Vicky Saccoletto","segunda-feira 15:12-15:16","Divergente","Ausência do separador obrigatório [[BALAO]] entre as bolhas de mensagem da automação.",false,"15:13: Ausência do separador [[BALAO]] entre as bolhas de mensagem. | 15:15: Ausência do separador [[BALAO]] entre as bolhas de mensagem."
"9429cd4c-9a6f-4fc5-b5a9-61e02f03c3a5.png","#2459","Índia","Unknown 08:55-10:05","Divergente","Ausência do marcador técnico obrigatório [[BALAO]] entre as bolhas de mensagem da automação.",false,"08:55: Ausência da tag [[BALAO]] entre as mensagens enviadas | 09:17: Ausência da tag [[BALAO]] entre as mensagens enviadas | 09:54: Ausência da tag [[BALAO]] entre as mensagens enviadas"
"968250dd-a118-4638-8172-1a670c1fdea7.png","#2558","biiaa🥰","Unknown 11:24-11:31","Divergente","Ausência obrigatória da tag [[BALAO]] entre as mensagens enviadas às 11:27.",false,"11:27: Missing [[BALAO]] separator"
"eb532baa-a908-43f8-8d65-2fa3d2ad85f9.png","#2459","índia","02/02/2026 23:39-23:50","Divergente","Ausência obrigatória da tag [[BALAO]] entre as mensagens da automação em 23:41 e 23:50.",false,"23:41: Ausência da tag [[BALAO]] entre as mensagens da automação | 23:50: Ausência da tag [[BALAO]] entre as mensagens da automação"
"ff56e9ec-27ab-4da2-9f79-da30a4d17c5d.png","#2558","biiaa🥰","Unknown 11:34-12:10","Divergente","Ausência da tag obrigatória [[BALAO]] para separação das mensagens enviadas em sequência pela automação.",false,"11:35: Ausência do separador [[BALAO]] entre as três bolhas de mensagem enviadas."
