Filename,Lead ID,Lead Name,DateTime,Veredito,Observações,Critical,Timeline
"00d39d37-4d37-44c3-b02b-76bf91c3e126.png","#2459","índia","Unknown 23:52-08:52","Divergente","Ausência da tag [[BALAO]] entre mensagens da automação e balão do Plano Premium excede o limite de 3 frases.",false,"23:55: Ausência do separador [[BALAO]] entre as mensagens | 08:47: Ausência do separador [[BALAO]] entre as mensagens | 08:47: Mensagem excede o limite de 3 frases (bloco do Plano Premium)"
"0c7732ca-ad7e-4e98-b05e-5e6ce99c5939.png","#2559",".","Unknown 14:36-14:38","Divergente","Ausência da tag literal [[BALAO]] entre as bolhas de mensagens enviadas pela automação às 14:38.",false,"14:38: Missing [[BALAO]] separator"
"0e25afbc-0ae1-4b39-ac22-85696d9b38b4.png","#2459","índia","09:54-10:06","Divergente","Ausência obrigatória da tag [[BALAO]] entre mensagens e repetição de conteúdo idêntico no bloco das 10:06.",false,"09:54: Ausência do separador [[BALAO]] entre os balões de mensagem. | 10:06: Ausência do separador [[BALAO]] entre os balões de mensagem. | 10:06: Envio de mensagens duplicadas/repetitivas no mesmo fluxo de automação."
"1d0e2d9d-4a31-4afd-93de-f7a1f65d57df.png","#2559",".","Unknown 14:38-14:42","Divergente","Ausência obrigatória da tag [[BALAO]] para separação de balões de mensagem em toda a interação da automação.",false,"14:38: Ausência da tag [[BALAO]] entre as mensagens enviadas pela automação."
"37844a5c-9b89-4ce4-8e48-6f077f427c43.png","#2556","Vicky Saccoletto","Unknown 15:16-16:01","Divergente","Ausência da tag obrigatória [[BALAO]] entre as bolhas de mensagem da automação.",false,"15:16: Missing [[BALAO]] separator between bot bubbles | 15:16: Missing [[BALAO]] separator between bot bubbles | 15:16: Missing [[BALAO]] separator between bot bubbles"
"8f65465c-dc09-4729-9ff5-884e43b47544.png","#2556","Vicky Saccoletto","Segunda-feira 15:12-15:16","Divergente","Ausência obrigatória da tag [[BALAO]] entre balões de mensagem consecutivos nos blocos das 15:13 e 15:15.",false,"15:13: Ausência da tag [[BALAO]] separando as mensagens do bot | 15:15: Ausência da tag [[BALAO]] separando as mensagens do bot"
"9429cd4c-9a6f-4fc5-b5a9-61e02f03c3a5.png","#2459","índia","08:55-10:05","Divergente","Ausência obrigatória da tag [[BALAO]] entre as bolhas de mensagem da automação em todas as interações.",false,"08:55: Ausência da tag [[BALAO]] entre mensagens | 09:17: Ausência da tag [[BALAO]] entre mensagens | 09:54: Ausência da tag [[BALAO]] entre mensagens"
"968250dd-a118-4638-8172-1a670c1fdea7.png","#2558","biiaa🥰","Hoje 11:24-11:31","Divergente","Ausência do separador obrigatório [[BALAO]] entre as múltiplas bolhas de mensagem enviadas pela automação.",false,"11:27: Ausência do separador [[BALAO]] entre as bolhas de mensagem"
"eb532baa-a908-43f8-8d65-2fa3d2ad85f9.png","#2459","índia","02/02/2026 23:39-23:50","Divergente","Ausência do separador obrigatório [[BALAO]] entre as bolhas de mensagem da automação em múltiplos momentos.",false,"23:41: Ausência do separador [[BALAO]] entre as bolhas de mensagem. | 23:50: Ausência do separador [[BALAO]] entre as bolhas de mensagem."
"ff56e9ec-27ab-4da2-9f79-da30a4d17c5d.png","#2558","biiaa 🥰","Unknown 11:34-12:10","Divergente","Ausência do separador obrigatório [[BALAO]] entre as bolhas de mensagem da automação.",false,"11:35: Ausência do separador [[BALAO]] entre as bolhas de mensagem"
