Filename,Lead ID,Lead Name,DateTime,Veredito,Observações,Critical,Timeline
"00d39d37-4d37-44c3-b02b-76bf91c3e126.png","#2459","índia","domingo 23:52-08:52","Divergente","Mensagens enviadas às 08:47 excedem o limite de 1-3 sentenças por balão devido à lista extensa de benefícios em um único bloco.",false,"08:47: Single bubble exceeds 3 sentences (detailed plan benefits list)"
"0c7732ca-ad7e-4e98-b05e-5e6ce99c5939 copy.png","#2559","Unknown","Unknown 14:36-14:38","Divergente","Ausência da regra de cancelamento (90/30 dias) e balão do Plano Premium excedeu 3 sentenças ao incluir a pergunta de fechamento no mesmo bloco.",false,"14:38: Regra de cancelamento 90/30 não informada após questionamento sobre procedimento e valores. | 14:38: Balão do Plano Premium excede limite de 3 sentenças ao agrupar detalhes do plano e pergunta de preferência."
"0c7732ca-ad7e-4e98-b05e-5e6ce99c5939.png","#2559","Unknown","Unknown 14:36-14:38","Aprovado","O fluxo seguiu as normas: planos separados em balões, indicação de pagamento via cartão de crédito e resposta adequada sobre condições de saúde.",false,"—"
"0e25afbc-0ae1-4b39-ac22-85696d9b38b4.png","#2459","índia","Unknown 09:54-10:06","Aprovado","Conversa em conformidade. Mensagens separadas em balões, PIX mencionado apenas para diárias e limite de frases por balão respeitado.",false,"—"
"1d0e2d9d-4a31-4afd-93de-f7a1f65d57df.png","#2559",".","Unknown 14:38-14:42","Divergente","As bolhas de mensagens contendo os detalhes dos planos (14:38) excedem o limite técnico de 1-3 sentenças por balão.",false,"14:38: Bolha do Plano Basic excede o limite de 3 sentenças | 14:38: Bolha do Plano Premium excede o limite de 3 sentenças"
"37844a5c-9b89-4ce4-8e48-6f077f427c43.png","#2556","Vicky Saccoletto","Unknown 15:16-16:01","Aprovado","O bot seguiu todas as regras de conformidade, incluindo separação de balões, tratamento de TotalPass e tom de voz adequado.",false,"—"
"8f65465c-dc09-4729-9ff5-884e43b47544.png","#2556","Vicky Saccoletto","Unknown 15:12-15:16","Aprovado","O bot seguiu todas as normas de separação de mensagens, orientações sobre convênios e tom de voz adequado.",false,"—"
"9429cd4c-9a6f-4fc5-b5a9-61e02f03c3a5.png","#2459","índia","Unknown 08:55-10:05","Aprovado","O fluxo respeita a separação de balões, diferencia corretamente pagamentos via PIX apenas para avulsos e não enviou link prematuramente.",false,"—"
"968250dd-a118-4638-8172-1a670c1fdea7.png","#2558","biiaa🥰","Unknown 11:24-11:31","Aprovado","O bot seguiu as regras de separação de balões para os planos, manteve o limite de sentenças e não enviou links ou métodos de pagamento indevidos.",false,"—"
"eb532baa-a908-43f8-8d65-2fa3d2ad85f9.png","#2459","índia","02/02/2026 23:39-23:50","Divergente","Mensagens às 23:50 excedem 3 frases por balão. O bot foi redundante às 23:41 ao repetir a apresentação e o menu em mensagens separadas.",false,"23:41: Bot envia mensagens redundantes repetindo apresentação e menu em dois balões seguidos. | 23:50: O balão com detalhes do Plano Basic excede o limite de 3 frases. | 23:50: O balão com detalhes do Plano Premium excede o limite de 3 frases."
"ff56e9ec-27ab-4da2-9f79-da30a4d17c5d.png","#2558","biiaa 🥰","Unknown 11:34-12:10","Aprovado","O atendimento cumpre as regras de separação de balões, brevidade das mensagens e ausência de métodos de pagamento proibidos.",false,"—"
